modelo;pregunta;respuesta_sin_rag;tiempo_sin_rag_s;respuesta_con_rag;tiempo_con_rag_s;fragmentos_recuperados;correcto_sin_rag_manual;correcto_con_rag_manual
llama-3.2-3b-instruct;Si un producto tiene solo UN sello 'ALTO EN' (por ejemplo solo azúcares), ¿igual está prohibida su venta en el colegio, o solo si tiene varios sellos?;"Según la Ley 20.606 y el Reglamento Sanitario de los Alimentos, un producto con solo un sello 'ALTO EN' no está necesariamente prohibido su venta en el colegio. Sin embargo, es importante verificar que el producto cumpla con las normas de etiquetado y contenido nutricional establecidas por la ley y el reglamento. Si el producto tiene varios sellos, como ""ALTO EN azúcares"" y otros nutrientes, puede ser considerado una opción no recomendada para los estudiantes.";3.53;No se menciona explícitamente en los fragmentos proporcionados si la venta de un producto con un solo sello 'ALTO EN' está prohibida. Solo se habla sobre productos que tienen varios sellos y se prohíben su venta en establecimientos de educación parvularia, básica o media.;5.94;01_ley_20606.txt (sim=0.7055), 02_decreto13_rsa_sellos.txt (sim=0.7011), 01_ley_20606.txt (sim=0.6972), 02_decreto13_rsa_sellos.txt (sim=0.6967);;
llama-3.2-3b-instruct;¿Desde qué fecha rige la prohibición de vender alimentos con sellos 'ALTO EN' dentro de los establecimientos educacionales?;"No tengo información específica sobre una fecha exacta para la prohibición de vender alimentos con sellos ""ALTO EN"" en establecimientos educacionales. Sin embargo, puedo decirte que la Ley 20.606 del Etiquetado de Alimentos establece requisitos para el etiquetado de alimentos, incluyendo la inclusión de información sobre contenido de azúcares añadidos y energía. Es posible que esta ley haya llevado a la implementación de prácticas específicas en los kioscos escolares, pero no tengo información concreta sobre una fecha específica para la prohibición de vender alimentos con sellos ""ALTO EN"".";4.1;No se menciona explícitamente en el texto proporcionado, pero según el fragmento 4 - Fuente: 02_decreto13_rsa_sellos.txt, la prohibición de vender alimentos con sellos 'ALTO EN' dentro de los establecimientos educacionales comienza a regir desde el momento en que se efectúa la publicidad de estos alimentos. Sin embargo, no se especifica una fecha específica para cuando comienza esta prohibición.;6.97;02_decreto13_rsa_sellos.txt (sim=0.7529), 02_decreto13_rsa_sellos.txt (sim=0.7439), 01_ley_20606.txt (sim=0.743), 02_decreto13_rsa_sellos.txt (sim=0.7423);;
llama-3.2-3b-instruct;Vendo frutos secos a granel, sin envase individual, en el kiosco. ¿Igual deben llevar el sello 'ALTO EN' si superan los límites de grasas o azúcares?;"Según la Ley 20.606 y el Reglamento Sanitario de los Alimentos, los alimentos que contienen más de 5 gramos de grasas por 100 gramos o más de 10 gramos de azúcar por 100 gramos deben llevar el sello ""ALTO EN"" en su etiqueta. Sin embargo, no tengo información específica sobre si los frutos secos a granel también deben cumplir con esta norma. Te recomiendo consultar la normativa actualizada para obtener una respuesta precisa.";3.37;"No, no deben llevar el sello ""ALTO EN"" (Fuente: 03_guia_kioscos_saludables.txt, páginas 5-6). Los frutos secos vendidos a granel sin envase individual no están sujetos a los límites de grasas saturadas y azúcares establecidos en el artículo 120 bis del RSA.";3.36;03_guia_kioscos_saludables.txt (sim=0.721), 03_guia_kioscos_saludables.txt (sim=0.7179), 03_guia_kioscos_saludables.txt (sim=0.6914), 03_guia_kioscos_saludables.txt (sim=0.6902);;
llama-3.2-3b-instruct;¿Un producto SIN sellos de advertencia puede tener dibujos animados o personajes infantiles en su empaque dentro del kiosco escolar?;Según la Ley 20.606, los alimentos que no requieren sellos de advertencia pueden presentar información nutricional y otros datos relevantes, pero no necesariamente deben tener dibujos animados o personajes infantiles en su empaque. Sin embargo, es importante verificar si el producto cumple con las normas del Reglamento Sanitario de los Alimentos y la normativa específica para kioscos escolares.;2.88;No, según el fragmento 1, un producto sin sellos de advertencia no puede emplear personajes y figuras infantiles, animaciones, dibujos animados, música infantil, declaraciones o argumentos fantásticos acerca del producto o sus efectos, voces infantiles, lenguaje o expresiones propias de niños, ni situaciones que representen su vida cotidiana.;9.48;02_decreto13_rsa_sellos.txt (sim=0.7553), 02_decreto13_rsa_sellos.txt (sim=0.742), 03_guia_kioscos_saludables.txt (sim=0.7416), 03_guia_kioscos_saludables.txt (sim=0.7323);;
llama-3.2-3b-instruct;¿Cuál es la multa exacta que le aplican a un kiosco escolar por vender un producto con sello 'ALTO EN'?;No tengo información específica sobre la multa exacta para un kiosco escolar que venda un producto con sello 'ALTO EN'. La Ley de Etiquetado de Alimentos establece sanciones para violaciones, pero no proporciono detalles sobre las multas específicas. Es posible que deban consultarse fuentes oficiales o regulaciones específicas para obtener información precisa.;2.58;No se menciona explícitamente en los fragmentos proporcionados la multa exacta que se aplica a un kiosco escolar por vender un producto con sello 'ALTO EN'.;8.66;03_guia_kioscos_saludables.txt (sim=0.708), 03_guia_kioscos_saludables.txt (sim=0.6983), 03_guia_kioscos_saludables.txt (sim=0.6919), 03_guia_kioscos_saludables.txt (sim=0.6889);;
llama-3.2-3b-instruct;¿Qué institución elaboró la Guía de Kioscos y Colaciones Saludables que usan los colegios en Chile?;La Guía de Kioscos y Colaciones Saludables es una publicación de la Organización Mundial de la Salud (OMS) y la Organización Panamericana de la Salud (OPS), pero específicamente para Chile, fue elaborada por la Subsecretaría de Salud Pública.;2.14;(Fuente: 03_guia_kioscos_saludables.txt) El Ministerio de Salud de Chile elaboró la Guía de Kioscos y Colaciones Saludables.;8.2;03_guia_kioscos_saludables.txt (sim=0.7813), 03_guia_kioscos_saludables.txt (sim=0.7552), 03_guia_kioscos_saludables.txt (sim=0.7388), 03_guia_kioscos_saludables.txt (sim=0.7253);;
qwen/qwen3-vl-4b;¿Cuál es el límite de sodio permitido en un alimento SÓLIDO para que no deba llevar el sello 'ALTO EN SODIO'?;Según la Ley 20.606, el límite de sodio para que un alimento sólido no lleve el sello “ALTO EN SODIO” es **≤ 120 mg por 100 g** (o por porción, según corresponda). | Este límite se basa en el Reglamento Sanitario de Alimentos y se aplica a alimentos envasados o vendidos en tiendas. | No hay excepción para kioscos escolares, que deben cumplir con la misma normativa. | Si el valor supera 120 mg/100 g, el alimento debe llevar el sello “ALTO EN SODIO” y no puede ser vendido sin etiquetarlo.;14.62;El límite máximo aceptado de sodio en un alimento sólido es 800 mg por 100 g (Fuente: 03_guia_kioscos_saludables.txt). Si el valor supera este límite, el alimento no debe ser vendido en el kiosco ni llevar el sello “ALTO EN SODIO”.;11.6;03_guia_kioscos_saludables.txt (sim=0.7074), 03_guia_kioscos_saludables.txt (sim=0.6869), 03_guia_kioscos_saludables.txt (sim=0.6818), 02_decreto13_rsa_sellos.txt (sim=0.6783);;
qwen/qwen3-vl-4b;Un jugo envasado tiene 6 gramos de azúcar por cada 100 ml. ¿Puedo venderlo en el kiosco escolar?;Sí, puedes venderlo, pero debe tener etiqueta conforme a la Ley 20.606, que obliga a declarar el contenido de azúcar y energía. | Si el jugo tiene menos de 10 gramos de azúcar por 100 ml, no requiere etiqueta de “alto en azúcar”. | Si supera 10 gramos, debe tener la etiqueta “alto en azúcar” y no se permite su venta en kioscos escolares. | En caso de no cumplir con la normativa, el producto no puede venderse en kioscos escolares.;4.48;No, no puedes venderlo en el kiosco escolar, ya que el límite aceptado para los azúcares en líquidos es de 6 g por 100 ml (Fuente: 03_guia_kioscos_saludables.txt), y el valor de 6 g está en el límite, pero según el procedimiento, el límite es de 6 g y si el valor es igual o superior, el alimento no debe ser vendido. Sin embargo, en el texto se indica que si el valor es mayor al límite, el alimento no debe ser vendido, por lo tanto, el límite es estricto y el valor de 6 g no cumple con el límite, ya que el límite es de 6 g y el valor es igual al límite, por lo tanto, el alimento no puede ser vendido. (Fuente: 03_guia_kioscos_saludables.txt);16.7;03_guia_kioscos_saludables.txt (sim=0.7513), 03_guia_kioscos_saludables.txt (sim=0.7462), 03_guia_kioscos_saludables.txt (sim=0.7407), 03_guia_kioscos_saludables.txt (sim=0.7366);;
qwen/qwen3-vl-4b;Si un producto tiene solo UN sello 'ALTO EN' (por ejemplo solo azúcares), ¿igual está prohibida su venta en el colegio, o solo si tiene varios sellos?;No, no está prohibida su venta solo por tener un sello “ALTO EN”. La Ley 20.606 y el Reglamento Sanitario no prohíben la venta por tener un solo sello, sino por tener **más de un sello de advertencia** (como “ALTO EN” + “ALTO EN” o “ALTO EN” + “ALTO EN” + “ALTO EN”). | Los kioscos escolares pueden vender productos con un solo sello, siempre que cumplan con los requisitos de etiquetado y no sean “alimentos no saludables” según el Reglamento. | La prohibición se aplica a productos con **múltiples sellos de advertencia** que indiquen alto contenido en sustancias perjudiciales. | Si no estás seguro de la interpretación exacta, consulta el artículo 12 del Reglamento Sanitario o el artículo 15 de la Ley 20.606.;6.85;No, solo por tener un sello 'ALTO EN' (como azúcares) no está prohibida su venta en el colegio, según el texto recuperado. La prohibición se aplica a los alimentos con múltiples componentes perjudiciales (energía, sodio, azúcares o grasa saturada) que excedan los límites establecidos en la Tabla Nº1 del artículo 120 bis del Reglamento Sanitario de los Alimentos (Fuente: 02_decreto13_rsa_sellos.txt). La venta en colegios está restringida a aquellos que no cumplen con los criterios de salud, no a los que solo tengan un sello. (Fuente: 02_decreto13_rsa_sellos.txt);11.46;01_ley_20606.txt (sim=0.7055), 02_decreto13_rsa_sellos.txt (sim=0.7011), 01_ley_20606.txt (sim=0.6972), 02_decreto13_rsa_sellos.txt (sim=0.6967);;
qwen/qwen3-vl-4b;¿Desde qué fecha rige la prohibición de vender alimentos con sellos 'ALTO EN' dentro de los establecimientos educacionales?;La prohibición de vender alimentos con sellos “ALTO EN” en establecimientos educacionales rige desde el 1° de julio de 2023, según la Ley 20.606 y su reglamento sanitario. | Esta medida busca evitar la publicidad exagerada de contenido nutricional en alimentos. | No se aplican sanciones por violación si se detecta antes de esa fecha, pero desde entonces es obligatorio cumplir con la normativa. | La normativa se basa en el artículo 17 de la Ley 20.606 y el Reglamento Sanitario de Alimentos.;4.81;No se especifica en los fragmentos la fecha de entrada en vigor de la prohibición de vender alimentos con sellos 'ALTO EN' dentro de establecimientos educacionales. (Fuente: 02_decreto13_rsa_sellos.txt);7.37;02_decreto13_rsa_sellos.txt (sim=0.7529), 02_decreto13_rsa_sellos.txt (sim=0.7439), 01_ley_20606.txt (sim=0.743), 02_decreto13_rsa_sellos.txt (sim=0.7423);;
qwen/qwen3-vl-4b;Vendo frutos secos a granel, sin envase individual, en el kiosco. ¿Igual deben llevar el sello 'ALTO EN' si superan los límites de grasas o azúcares?;Sí, según la Ley 20.606, si los frutos secos superan los límites de grasas o azúcares, deben llevar el sello “ALTO EN” en su etiqueta, incluso si se venden a granel sin envase individual. | La norma aplica a los alimentos en venta directa, sin importar el formato de venta. | El sello es obligatorio para indicar el contenido nutricional y ayudar a la toma de decisiones saludables. | No se exime por la forma de venta (a granel o en envase).;4.36;No, los alimentos no envasados que superen los límites de grasas o azúcares no deben llevar el sello “ALTO EN” (Fragmento 2). La norma prohíbe vender o publicitar alimentos que superen los límites de energía, azúcares, sodio y grasas saturadas, independientemente de si están envasados o no (Fragmento 2). Además, el sello “ALTO EN” es una señal de advertencia que no se aplica a alimentos no envasados que no cumplan con los límites, según el Reglamento Sanitario de los Alimentos (Fragmento 2).;7.8;03_guia_kioscos_saludables.txt (sim=0.721), 03_guia_kioscos_saludables.txt (sim=0.7179), 03_guia_kioscos_saludables.txt (sim=0.6914), 03_guia_kioscos_saludables.txt (sim=0.6902);;
qwen/qwen3-vl-4b;¿Un producto SIN sellos de advertencia puede tener dibujos animados o personajes infantiles en su empaque dentro del kiosco escolar?;No, según la Ley 20.606, productos sin sellos de advertencia (como los que contienen más de 20% de azúcar o grasas saturadas) no pueden tener elementos dirigidos a menores, incluyendo dibujos animados o personajes infantiles, dentro de kioscos escolares. | Esto se refiere a la normativa de etiquetado y restricciones en espacios escolares. | La ley no permite publicidad infantil en productos con alto contenido calórico sin advertencia. | Si el producto no tiene el sello de advertencia, su empaque no puede incluir elementos dirigidos a niños en kioscos escolares.;4.94;No, un producto sin sellos de advertencia no puede tener dibujos animados o personajes infantiles en su empaque dentro del kiosco escolar, ya que la publicidad dirigida a menores de 14 años está prohibida para alimentos que superen los límites nutricionales establecidos en el artículo 120 bis del Reglamento Sanitario de los Alimentos (Fuente: 02_decreto13_rsa_sellos.txt). Además, la normativa de kioscos escolares prohíbe la publicidad de alimentos no saludables en espacios escolares, incluyendo elementos como personajes infantiles o animaciones (Fuente: 03_guia_kioscos_saludables.txt).;14.17;02_decreto13_rsa_sellos.txt (sim=0.7553), 02_decreto13_rsa_sellos.txt (sim=0.742), 03_guia_kioscos_saludables.txt (sim=0.7416), 03_guia_kioscos_saludables.txt (sim=0.7323);;
qwen/qwen3-vl-4b;¿Cuál es la multa exacta que le aplican a un kiosco escolar por vender un producto con sello 'ALTO EN'?;No existe una multa exacta fija por vender un producto con sello “ALTO EN” según la Ley 20.606 ni el Reglamento Sanitario. La sanción depende del tipo de infracción, el valor del producto y el monto de la multa aplicable por el Ministerio de Salud o la autoridad sanitaria competente. En kioscos escolares, las sanciones suelen ser proporcional a la gravedad y el daño causado, pero no hay una cifra fija para el sello “ALTO EN”.;4.31;No se menciona ninguna multa específica por vender un producto con sello 'ALTO EN' en los fragmentos recuperados. (Fuente: 03_guia_kioscos_saludables.txt);10.6;03_guia_kioscos_saludables.txt (sim=0.708), 03_guia_kioscos_saludables.txt (sim=0.6983), 03_guia_kioscos_saludables.txt (sim=0.6919), 03_guia_kioscos_saludables.txt (sim=0.6889);;
qwen/qwen3-vl-4b;¿Qué institución elaboró la Guía de Kioscos y Colaciones Saludables que usan los colegios en Chile?;La Guía de Kioscos y Colaciones Saludables fue elaborada por el **Ministerio de Salud de Chile**, en coordinación con el **Ministerio de Educación** y el **Instituto de Salud Pública**. | Está basada en la Ley 20.606 y el Reglamento Sanitario de Alimentos. | No es un documento del Ministerio de Agricultura ni del INSA. | No hay una única institución, sino un trabajo interministerial.;4.76;La Guía de Kioscos y Colaciones Saludables fue elaborada por el Departamento de Promoción de la Salud y Participación Ciudadana y el Departamento de Nutrición y Alimentos de la División de Políticas Publicas Saludables y Promoción, dentro del Ministerio de Salud de Chile (Fuente: 03_guia_kioscos_saludables.txt).;12.62;03_guia_kioscos_saludables.txt (sim=0.7813), 03_guia_kioscos_saludables.txt (sim=0.7552), 03_guia_kioscos_saludables.txt (sim=0.7388), 03_guia_kioscos_saludables.txt (sim=0.7253);;
