modelo;producto;sellos_detectados;tiempo_s;tokens_generados;tokens_por_seg;respuesta_modelo;correcto_manual;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Snack de maíz frito;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;2.65;100;37.75;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION: El snack de maíz frito contiene altos niveles de sodio y grasas saturadas, lo que lo hace inapropiado para la venta escolar debido a su impacto negativo en la salud cardiovascular. Es recomendable ofrecer alternativas más saludables como palitos de frutas o snacks integrales.;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Fruta deshidratada sin azúcar añadida;Ninguno;1.48;56;37.8;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: No tiene sellos de advertencia relacionados con el consumo excesivo de azúcares, sodio, calorías o grasas saturadas. | ALTERNATIVA: Ninguna;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Papas fritas sabor queso;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;11.13;131;11.77;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION: El producto contiene sellos de advertencia que lo clasifican como no apto para venta escolar según el Manual de Kioscos Saludables. Su alto contenido en sodio y grasas saturadas representa un riesgo para la salud de los estudiantes. | ALTERNATIVA: Papas fritas saludables (con menos sodio y grasas saturadas) o snacks vegetales como maíz asado o frutas secas sin azúcar añadida.;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Barra de cereal sin azúcar añadida;Ninguno;1.39;43;31.01;APTO: Sí | SELLOS: Ninguno | JUSTIFICACION: No presenta sellos de advertencia según el Manual de Kioscos Saludables. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Bebida gaseosa 350ml;ALTO EN AZUCARES, ALTO EN CALORIAS;2.55;80;31.42;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN CALORIAS | JUSTIFICACION: Según el Manual de Kioscos Saludables, productos con al menos un sello de advertencia no son aptos para venta escolar. | ALTERNATIVA: Agua mineral natural o bebida vegetal sin azúcar y sin calorías;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Yogurt natural sin azúcar;Ninguno;1.35;42;31.09;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: No presenta sellos de advertencia según el Manual de Kioscos Saludables. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Galletas rellenas de chocolate;ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS;3.28;105;31.97;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS | JUSTIFICACION: El producto presenta tres sellos de advertencia, lo que lo excluye de venta en kioscos escolares según el Manual de Kioscos Saludables. | ALTERNATIVA: Galletas integrales sin azúcar añadido o galletas de avena con frutas secas.;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Agua mineral sin gas;Ninguno;1.69;53;31.31;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: No contiene azúcares, sodio, calorías ni grasas saturadas, por lo tanto no tiene sellos de advertencia. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Snack de maíz frito;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;2.89;92;31.81;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION: El producto tiene dos sellos de advertencia, lo que lo excluye de venta en kioscos escolares según el Manual de Kioscos Saludables. | ALTERNATIVA: Snack de maíz crudo o snack de quinoa integral sin sal y sin grasas saturadas;;;;;;;;;;;;;;;;;;;;
qwen/qwen3-vl-4b;Fruta deshidratada sin azúcar añadida;Ninguno;1.81;58;32.03;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: No contiene sellos de advertencia según el Manual de Kioscos Saludables. Es un alimento natural con bajo contenido de azúcar y calorías. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
